Total_Duration_Minute,Total_Distance,Number_Of_Stops
105.0,78,4
115.0,83,4
1325.0,978,22
480.0,2694,14
750.0,1618,12
540.0,1276,5
165.0,1277,5
190.0,2616,14
1380.0,1206,9
60.0,1313,3
90.0,1161,3
690.0,1301,2
210.0,1429,3
840.0,841,18
560.0,513,10
615.0,503,10
590.0,563,11
40.0,1329,24
30.0,1319,24
720.0,569,14
100.0,1332,26
1060.0,976,17
1285.0,973,17
900.0,1581,13
1170.0,1050,13
1115.0,1050,13
1285.0,1261,14
1255.0,1262,14
150.0,1360,17
155.0,1362,17
500.0,579,7
510.0,569,7
1190.0,1123,16
1150.0,1123,16
580.0,551,10
600.0,549,10
85.0,62,3
85.0,62,3
840.0,1854,29
685.0,1853,29
465.0,2066,14
495.0,2073,14
1095.0,2332,29
1000.0,2351,29
160.0,1656,12
310.0,1656,12
455.0,1770,17
345.0,1791,17
715.0,523,9
700.0,522,9
85.0,58,13
85.0,58,13
20.0,3,2
20.0,3,2
35.0,4,4
30.0,4,4
1180.0,1193,5
1300.0,1193,5
880.0,710,13
855.0,710,13
860.0,653,7
825.0,653,7
375.0,1916,13
245.0,1924,13
880.0,691,17
815.0,691,17
100.0,67,10
110.0,67,10
105.0,67,10
95.0,67,10
370.0,232,24
375.0,232,24
185.0,125,16
155.0,125,10
60.0,21,3
60.0,21,3
1275.0,882,22
1140.0,881,22
280.0,197,21
305.0,197,21
75.0,42,6
60.0,42,6
105.0,81,13
115.0,81,13
150.0,99,14
140.0,99,14
185.0,112,5
165.0,112,5
765.0,503,15
720.0,505,15
110.0,64,4
90.0,64,4
210.0,136,11
175.0,136,11
110.0,81,6
115.0,81,6
225.0,81,12
170.0,81,12
125.0,85,11
135.0,85,9
250.0,153,20
245.0,153,20
745.0,380,10
745.0,379,10
130.0,87,2
150.0,87,2
240.0,204,11
300.0,205,11
185.0,89,15
165.0,88,15
725.0,426,53
705.0,425,53
760.0,649,14
750.0,649,15
905.0,699,14
365.0,1844,27
555.0,1843,27
1000.0,849,19
975.0,851,20
960.0,849,18
965.0,852,19
1080.0,852,19
970.0,849,19
1020.0,852,20
905.0,855,19
990.0,857,20
635.0,626,14
800.0,627,14
340.0,1656,19
225.0,1655,19
805.0,500,13
635.0,501,13
595.0,522,9
715.0,522,9
70.0,45,4
70.0,45,4
310.0,2462,21
140.0,77,14
35.0,17,6
1055.0,881,14
1005.0,878,14
705.0,632,14
825.0,634,13
1200.0,1089,21
1160.0,1086,21
796.0,607,85
796.0,604,85
90.0,62,9
95.0,61,9
25.0,10,4
25.0,10,4
50.0,33,7
70.0,33,7
130.0,89,8
150.0,89,8
160.0,116,11
185.0,116,11
20.0,10,3
25.0,10,3
23.0,10,3
25.0,10,3
416.0,247,36
411.0,248,36
1200.0,2276,34
1305.0,2297,34
945.0,2023,27
1030.0,2033,28
785.0,670,18
905.0,735,11
270.0,217,8
750.0,437,14
610.0,554,17
710.0,553,17
435.0,1589,40
495.0,1593,40
430.0,1543,37
460.0,1508,39
495.0,1511,39
415.0,1560,39
375.0,1563,39
810.0,763,16
75.0,2563,37
400.0,1433,36
240.0,1436,36
150.0,1221,29
5.0,1226,30
400.0,1360,37
255.0,1363,37
15.0,1147,29
265.0,1330,33
360.0,1331,33
675.0,537,15
680.0,537,15
750.0,742,11
825.0,744,11
660.0,597,13
660.0,597,14
720.0,555,14
725.0,554,15
405.0,1533,28
370.0,1533,28
735.0,735,11
1005.0,1973,49
860.0,1886,47
555.0,350,9
555.0,322,33
600.0,322,33
720.0,624,14
930.0,624,14
1155.0,1014,19
1185.0,1016,19
660.0,1636,38
660.0,1641,39
695.0,597,11
555.0,587,10
315.0,314,6
320.0,314,6
660.0,587,12
630.0,597,13
35.0,39,2
45.0,39,2
40.0,12,4
50.0,39,6
55.0,39,6
175.0,120,19
180.0,120,19
29.0,39,3
45.0,39,5
615.0,1847,24
635.0,1838,24
180.0,115,17
490.0,2039,16
160.0,115,17
30.0,30,6
28.0,30,6
80.0,40,5
55.0,40,5
430.0,1567,15
365.0,1567,15
560.0,495,9
530.0,497,9
780.0,700,13
740.0,698,13
720.0,471,12
705.0,471,12
285.0,1571,29
405.0,1578,29
870.0,760,15
920.0,759,15
20.0,11,2
15.0,11,2
1430.0,1365,15
1420.0,1356,15
560.0,484,13
570.0,481,14
165.0,133,17
835.0,1355,5
835.0,1358,5
955.0,1373,4
965.0,1376,4
1330.0,1209,20
1315.0,1211,20
805.0,780,14
820.0,780,14
1335.0,1281,12
1270.0,1281,12
435.0,429,12
420.0,429,12
165.0,125,13
430.0,447,11
480.0,450,11
695.0,590,20
745.0,594,20
700.0,590,20
710.0,594,20
805.0,726,13
805.0,727,13
435.0,348,12
445.0,348,12
635.0,502,21
715.0,504,21
585.0,1636,39
530.0,1639,38
245.0,191,12
242.0,191,11
250.0,191,12
230.0,191,11
1000.0,723,16
1035.0,723,16
520.0,1515,34
335.0,1515,34
500.0,1678,47
560.0,1677,46
390.0,1631,30
585.0,1634,30
785.0,1941,39
750.0,1941,40
855.0,1843,40
880.0,1845,39
735.0,517,28
780.0,517,31
700.0,545,19
605.0,545,19
225.0,1281,52
230.0,1283,52
705.0,517,35
730.0,517,34
130.0,108,5
170.0,108,5
870.0,1955,30
920.0,1953,30
10.0,1210,27
1405.0,1213,26
530.0,1777,17
755.0,1777,17
285.0,1352,62
265.0,1353,60
150.0,1281,36
75.0,1283,34
595.0,1696,27
705.0,1700,26
735.0,2894,39
825.0,2892,39
375.0,278,12
345.0,279,12
1200.0,949,18
1135.0,949,18
405.0,314,9
455.0,314,9
570.0,1552,17
415.0,1551,17
565.0,1732,23
595.0,1732,23
1020.0,2026,90
1175.0,2029,91
610.0,1772,24
660.0,1770,24
775.0,1885,41
875.0,1883,39
380.0,352,14
385.0,352,14
212.0,1510,20
355.0,1509,20
405.0,1645,43
420.0,1647,41
1415.0,1265,18
45.0,1267,17
805.0,651,13
935.0,651,13
1005.0,2155,67
1045.0,2157,65
580.0,1745,25
630.0,1745,24
615.0,1731,20
595.0,1731,19
210.0,1153,29
330.0,1153,28
717.0,574,11
670.0,578,11
1215.0,1053,26
1255.0,1053,25
1390.0,1074,26
1280.0,1072,26
1185.0,981,24
1170.0,981,24
270.0,1516,27
175.0,1515,26
745.0,623,17
715.0,622,16
520.0,1278,33
335.0,1279,32
165.0,1373,23
305.0,1373,23
1435.0,1321,21
90.0,1321,21
850.0,629,31
920.0,629,37
355.0,291,11
355.0,291,11
1195.0,939,12
1095.0,941,12
130.0,1051,49
70.0,1054,49
702.0,561,11
745.0,561,11
1295.0,1015,26
1290.0,1015,26
130.0,1340,28
165.0,1340,28
995.0,699,20
870.0,699,20
540.0,432,14
520.0,434,14
1075.0,737,47
40.0,1154,35
1410.0,1154,34
1410.0,989,38
1390.0,987,38
275.0,221,7
300.0,223,7
365.0,267,14
330.0,267,14
1420.0,1053,34
1415.0,1052,34
1380.0,1026,22
1425.0,1026,22
1020.0,811,18
1125.0,812,18
270.0,1478,17
275.0,1478,17
485.0,357,14
495.0,356,14
265.0,1156,45
75.0,1155,46
530.0,1561,34
570.0,1564,31
340.0,1416,50
345.0,1417,50
510.0,1572,49
465.0,1575,50
415.0,344,14
420.0,345,14
890.0,751,16
925.0,751,16
1015.0,823,20
965.0,821,20
305.0,215,6
295.0,215,6
430.0,292,13
400.0,294,13
510.0,688,10
505.0,690,10
400.0,504,7
390.0,504,7
245.0,268,5
245.0,268,5
420.0,498,4
430.0,499,4
380.0,490,9
400.0,490,9
245.0,268,6
250.0,268,6
360.0,447,8
360.0,447,8
400.0,442,10
415.0,442,10
355.0,314,8
345.0,314,8
430.0,436,10
465.0,434,10
405.0,402,10
425.0,401,11
520.0,530,14
470.0,531,14
510.0,598,8
505.0,598,8
300.0,360,4
300.0,361,4
385.0,447,8
375.0,447,8
385.0,447,8
375.0,447,8
320.0,430,5
295.0,430,4
210.0,240,4
220.0,240,4
325.0,328,7
330.0,328,7
330.0,283,8
340.0,283,8
495.0,560,7
485.0,560,7
425.0,397,8
430.0,397,8
210.0,243,4
205.0,243,4
390.0,385,10
440.0,385,10
100.0,181,2
100.0,183,2
520.0,581,9
515.0,585,9
440.0,406,11
440.0,406,11
350.0,304,9
370.0,304,10
455.0,386,14
420.0,386,14
395.0,447,10
405.0,450,10
315.0,330,10
330.0,330,10
410.0,389,10
